"Word types: A = adjective, ADV = adverb, F = function word (non-specified), N = noun, NUM = numeral, V = verb.",,,,,,,,,,,
"AoA = Age of Acquisition, new = ratings collected for the present study, MRC = ratings (not specified for word class), available on the MRC Psycholinguistic Database (1997). Oxford: Medical Research Council.",,,,,,,,,,,
"Frequency = logarithm of combined written and spoken count divided by total words in corpus of Celex Database (Baayen, R.H., Piepenbrock, R. & Gulikers, L. (1995). The CELEX Lexical Database [CD ROM]. Philadelphia, PA: Linguistic Data Consortium, University of Pennsylvania).",,,,,,,,,,,
WORD,Word type,new AoA,new Imageability,MRC AoA,MRC Imageability,Frequency,AoA_Kup,Bird_recalc,Bird_recalc2,,
ass,N,305,597,.,.,1.0306,7.84,5.68185,5.639841,,
assault,V,493,515,.,481,0.943,10.21,9.36101,9.25149396,,
assert,V,551,359,.,.,1.3568,10.83,10.49607,10.58031804,,
assess,V,551,347,.,.,1.3674,11.37,10.49607,10.58031804,,
assimilate,V,631,265,.,.,0.8,12.95,12.06167,12.57922044,,
assist,V,441,.,.,368,1.3059,8.75,8.34337,8.14616324,,
assistant,N,402,514,.,.,1.5317,8.61,7.58014,7.37054216,,
assume,V,492,286,.,.,2.0412,8.21,9.34144,9.22947056,,
astrology,N,562,465,.,.,0.316,9.53,10.71134,10.84375176,,
at,F,185,.,.,225,3.7479,4.037032,3.33345,3.890409,,
ate,V,189,.,.,364,2.4617,#N/A,3.41173,3.94174484,,
Atheism,N,602,253,.,.,-0.2518,12.69,11.49414,11.83237416,,
attack,N,385,546,.,501,2.0462,6.58,7.24745,7.046769,,
attack,V,387,547,.,501,1.8458,6.58,7.28659,7.08440876,,
attempt,N,380,355,392,302,2.0416,7.7,7.1496,6.953196,,
attempt,V,385,346,392,302,1.8945,7.7,7.24745,7.046769,,
attend,V,359,.,.,386,1.8743,7.72,6.73863,6.56840124,,
attendance,N,353,428,.,.,1.1219,7.11,6.62121,6.46089636,,
attest,V,608,165,.,.,0.2529,14,11.61156,11.98481856,,
auburn,N,490,484,.,.,0.0682,10.68,9.3023,9.185514,,
audiology,N,631,242,.,.,-1.5539,16,12.06167,12.57922044,,
Australia,N,395,624,.,.,1.6075,#N/A,7.44315,7.236171,,
Austria,N,498,552,.,.,0.9671,#N/A,9.45886,9.36206216,,
autocracy,N,637,191,.,.,-0.1367,13.29,12.17909,12.73689876,,
avail,N,597,202,.,.,0.4548,12.11,11.39629,11.70616436,,
avarice,N,610,272,.,.,0.1271,13.55,11.6507,12.035874,,
avoid,V,422,340,.,.,2.0604,8.5,7.97154,7.76258136,,
await,V,446,.,.,293,1.3448,9,8.44122,8.24891064,,
awake,V,326,514,.,.,0.9053,4.67,6.09282,5.99052504,,
award,V,402,482,.,.,1.129,7.5,7.58014,7.37054216,,
aware,A,391,.,.,298,1.9946,6.75,7.36487,7.16004924,,
awareness,N,448,355,.,.,1.3836,9.3,8.48036,8.29022016,,
away,F,239,.,.,272,2.8319,5.070761,4.39023,4.62405084,,
awe,N,493,360,.,.,0.9175,9.06,9.36101,9.25149396,,
awful,A,319,422,.,.,1.7777,6.26,5.95583,5.87215644,,
awkward,A,364,.,.,419,1.2986,8.58,6.83648,6.65881584,,
azure,N,549,452,.,.,-0.3468,12.54,10.45693,10.53281204,,
baboon,N,444,604,.,.,0.6503,9.11,8.40208,8.20772144,,
baby,N,157,.,.,608,2.4118,3.84,2.78549,3.54453396,,
babyminder,N,469,565,.,.,-1.5539,#N/A,8.89133,8.73123444,,
babysit,V,469,510,.,.,-1.5539,5.89,8.89133,8.73123444,,
back,F,222,408,225,483,2.9941,5.305215,4.05754,4.38362936,,
back,N,313,464,225,483,2.2929,5.305215,5.83841,5.77187076,,
backbencher,N,629,445,.,.,0.2923,15,12.02253,12.52690164,,
backwards,F,294,451,.,.,1.2949,5.976606,5.46658,5.46144344,,
bad,A,166,.,.,388,2.5198,2.79,2.96162,3.65313624,,
badger,N,359,607,.,.,0.8645,8.74,6.73863,6.56840124,,
badly,ADV,303,315,.,.,1.748,6.584055,5.64271,5.60713436,,
bake,V,244,.,.,495,1.3735,5.5,4.48808,4.69641744,,
baker,N,252,624,.,.,1.2398,6.040548,4.64464,4.81376816,,
ballet,N,370,648,.,.,1.2036,7.21,6.9539,6.768306,,
ballgown,N,465,622,.,.,-1.5539,#N/A,8.81305,8.646209,,
ban,V,469,311,.,.,1.3058,10.11,8.89133,8.73123444,,
banana,N,193,.,190,644,0.9261,3.78,3.49001,3.99356196,,
bandage,V,263,550,.,554,0.5667,5.94,4.85991,4.97826876,,
bang,V,199,525,.,470,1.2095,5.74,3.60743,4.07219004,,
bank clerk,N,475,572,.,.,-1.5539,#N/A,9.00875,8.859675,,
bank manager,N,482,572,.,.,-1.5539,#N/A,9.14574,9.01089096,,
Baptist,N,551,342,.,.,0.4955,#N/A,10.49607,10.58031804,,
bare,A,329,499,.,487,1.5752,5.78,6.15153,6.04170564,,
bare,V,454,406,.,487,0.6502,5.78,8.59778,8.41487064,,
barmaid,N,512,601,.,.,0.1271,12.47,9.73284,9.67565376,,
barman,N,522,589,.,.,0.7597,13.33,9.92854,9.90325736,,
barrister,N,597,587,.,.,0.7559,15,11.39629,11.70616436,,
basic,A,498,.,.,271,2.0329,9.14,9.45886,9.36206216,,
baste,V,522,467,.,.,0.3032,11,9.92854,9.90325736,,
bat,N,250,595,.,586,1.1588,4.85,4.6055,4.78425,,
bat,V,321,549,.,586,0.8002,4.85,5.99497,5.90582564,,
bath,V,191,592,172,601,0.7846,3.23,3.45087,3.96759324,,
bathe,V,263,591,.,.,0.9595,5,4.85991,4.97826876,,
battle,N,319,580,.,597,1.9097,6.95,5.95583,5.87215644,,
bawl,V,380,.,.,417,0.6222,10.62,7.1496,6.953196,,
be,V,298,.,.,274,4.5842,5.11,5.54486,5.52589416,,
be able,V,311,255,.,.,.,#N/A,5.79927,5.73868284,,
bear,N,220,601,236,572,1.2095,3.58,4.0184,4.355916,,
bearing,N,536,297,.,.,0.8645,#N/A,10.20252,10.22695584,,
beat,V,313,490,.,406,1.9358,6.15,5.83841,5.77187076,,
beautiful,A,279,.,.,532,2.0642,5.72,5.17303,5.22403964,,
beaver,N,389,.,.,612,0.4547,5.21,7.32573,7.12216884,,
