Word,Word type,new AoA,Frequency,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,pos_new,icon_eng,freq_eng,Bigram,Conc.M,Conc.SD,Unknown,Total,SUBTLEX
come,V,244.0,3.2931,5.64,1.26,22.0,3.57,2.04,21.0,verb,0.214285714,5.78,0.0,2.72,1.67,0.0,25.0,160190.0
concept,N,592.0,1.7952,4.89,1.78,18.0,2.9,1.7,21.0,noun,0.285714286,4.79,0.0,1.41,0.64,0.0,27.0,553.0
confuse,V,441.0,1.3153,4.5,1.54,20.0,3.95,1.93,20.0,verb,1.0,3.74,0.0,2.04,1.26,0.0,28.0,243.0
construct,V,450.0,1.4556,5.4,1.47,20.0,4.33,1.93,21.0,verb,0.083333333,4.04,0.0,2.6,1.19,0.0,25.0,74.0
contact,N,439.0,1.9171,6.17,2.07,18.0,3.33,2.5,21.0,noun,0.2,5.05,0.0,3.86,1.41,0.0,28.0,3305.0
contract,V,570.0,1.1753,5.1,1.37,21.0,3.95,2.35,20.0,noun,-0.692307692,4.94,0.0,4.15,1.2,0.0,27.0,1650.0
cook,N,288.0,1.2643,7.12,1.62,41.0,4.33,2.47,42.0,verb,0.9,4.62,0.0,4.32,1.02,0.0,28.0,2324.0
cook,V,251.0,1.8557,7.12,1.62,41.0,4.33,2.47,42.0,verb,0.9,4.62,0.0,4.32,1.02,0.0,28.0,2324.0
cool,V,279.0,1.4108,6.82,1.56,22.0,3.43,2.31,21.0,adjective,2.214285714,5.15,0.0,3.53,1.07,0.0,30.0,9990.0
cope,V,435.0,1.6404,5.1,1.77,20.0,4.1,2.67,20.0,verb,-0.307692308,4.09,0.0,1.78,1.01,0.0,32.0,166.0
cost,N,428.0,2.258,4.11,1.97,18.0,4.9,2.77,21.0,verb,0.538461538,5.22,0.0,2.5,1.2,0.0,28.0,2801.0
cost,V,407.0,1.7406,4.11,1.97,18.0,4.9,2.77,21.0,verb,0.538461538,5.22,0.0,2.5,1.2,0.0,28.0,2801.0
cougar,N,579.0,-0.7696,5.67,2.37,21.0,5.7,2.89,20.0,noun,1.2,3.22,0.0,4.82,0.55,0.0,28.0,102.0
cough,V,226.0,1.0955,3.57,1.95,23.0,4.5,2.26,22.0,noun,2.363636364,3.95,0.0,4.36,1.19,0.0,28.0,448.0
council,N,540.0,2.0784,5.0,1.65,20.0,3.86,1.68,21.0,noun,0.076923077,5.12,0.0,2.73,1.48,0.0,26.0,863.0
counsel,V,611.0,0.7427,5.48,1.54,21.0,2.86,1.73,22.0,noun,0.166666667,4.22,0.0,2.48,1.43,0.0,29.0,726.0
country,N,314.0,2.7478,6.14,1.67,22.0,3.71,2.47,21.0,noun,-0.529411765,5.51,0.0,4.17,1.18,0.0,30.0,8254.0
cow,N,174.0,1.6051,5.42,1.71,19.0,2.95,1.86,42.0,noun,1.454545455,4.16,0.0,4.96,0.19,0.0,28.0,1301.0
coyote,N,572.0,0.0899,4.05,1.86,21.0,5.55,2.09,22.0,noun,-0.4,3.32,0.0,4.96,0.19,0.0,28.0,185.0
crack,N,305.0,1.3469,2.68,1.86,22.0,5.25,2.53,20.0,noun,3.1,4.39,0.0,4.53,0.82,0.0,30.0,1675.0
crack,V,318.0,1.2695,2.68,1.86,22.0,5.25,2.53,20.0,noun,3.1,4.39,0.0,4.53,0.82,0.0,30.0,1675.0
craft,N,426.0,1.2577,6.38,1.53,21.0,4.04,1.81,25.0,noun,0.7333333329999999,4.32,0.0,3.48,1.35,0.0,29.0,289.0
