Word,task,rating,lexicalCategory,phonemes,totalMorphemes,concreteness,babyAVG
bad,alien,35,adjective,3.0,1,1.68,3.416666667
bad,alien,90,adjective,3.0,1,1.68,3.416666667
ball,alien,87,noun,3.0,1,5.0,6.0
ball,alien,60,noun,3.0,1,5.0,6.0
ball,alien,80,noun,3.0,1,5.0,6.0
ball,alien,69,noun,3.0,1,5.0,6.0
ball,alien,20,noun,3.0,1,5.0,6.0
ball,alien,56,noun,3.0,1,5.0,6.0
ball,alien,71,noun,3.0,1,5.0,6.0
ball,alien,39,noun,3.0,1,5.0,6.0
ball,alien,72,noun,3.0,1,5.0,6.0
ball,alien,23,noun,3.0,1,5.0,6.0
balloon,alien,46,noun,5.0,1,4.92,6.545454545
balloon,alien,55,noun,5.0,1,4.92,6.545454545
balloon,alien,80,noun,5.0,1,4.92,6.545454545
balloon,alien,11,noun,5.0,1,4.92,6.545454545
balloon,alien,26,noun,5.0,1,4.92,6.545454545
balloon,alien,8,noun,5.0,1,4.92,6.545454545
balloon,alien,82,noun,5.0,1,4.92,6.545454545
balloon,alien,43,noun,5.0,1,4.92,6.545454545
balloon,alien,29,noun,5.0,1,4.92,6.545454545
balloon,alien,38,noun,5.0,1,4.92,6.545454545
banana,alien,3,noun,6.0,1,5.0,3.083333333
banana,alien,17,noun,6.0,1,5.0,3.083333333
banana,alien,5,noun,6.0,1,5.0,3.083333333
banana,alien,43,noun,6.0,1,5.0,3.083333333
banana,alien,21,noun,6.0,1,5.0,3.083333333
banana,alien,81,noun,6.0,1,5.0,3.083333333
banana,alien,18,noun,6.0,1,5.0,3.083333333
banana,alien,76,noun,6.0,1,5.0,3.083333333
banana,alien,28,noun,6.0,1,5.0,3.083333333
banana,alien,21,noun,6.0,1,5.0,3.083333333
banana,alien,50,noun,6.0,1,5.0,3.083333333
banana,alien,14,noun,6.0,1,5.0,3.083333333
banana,alien,14,noun,6.0,1,5.0,3.083333333
basement,alien,73,noun,7.0,1,4.89,1.363636364
basement,alien,3,noun,7.0,1,4.89,1.363636364
basement,alien,1,noun,7.0,1,4.89,1.363636364
basement,alien,0,noun,7.0,1,4.89,1.363636364
basement,alien,54,noun,7.0,1,4.89,1.363636364
basement,alien,33,noun,7.0,1,4.89,1.363636364
basement,alien,6,noun,7.0,1,4.89,1.363636364
basement,alien,100,noun,7.0,1,4.89,1.363636364
basement,alien,24,noun,7.0,1,4.89,1.363636364
basement,alien,10,noun,7.0,1,4.89,1.363636364
basement,alien,20,noun,7.0,1,4.89,1.363636364
basement,alien,3,noun,7.0,1,4.89,1.363636364
basement,alien,50,noun,7.0,1,4.89,1.363636364
basement,alien,0,noun,7.0,1,4.89,1.363636364
basement,alien,13,noun,7.0,1,4.89,1.363636364
basement,alien,30,noun,7.0,1,4.89,1.363636364
basement,alien,53,noun,7.0,1,4.89,1.363636364
basket,alien,69,noun,6.0,1,5.0,5.0
basket,alien,25,noun,6.0,1,5.0,5.0
basket,alien,72,noun,6.0,1,5.0,5.0
basket,alien,1,noun,6.0,1,5.0,5.0
basket,alien,29,noun,6.0,1,5.0,5.0
basket,alien,3,noun,6.0,1,5.0,5.0
basket,alien,0,noun,6.0,1,5.0,5.0
basket,alien,30,noun,6.0,1,5.0,5.0
basket,alien,30,noun,6.0,1,5.0,5.0
basket,alien,11,noun,6.0,1,5.0,5.0
bat,alien,83,noun,3.0,1,5.0,1.615384615
bat,alien,12,noun,3.0,1,5.0,1.615384615
bat,alien,25,noun,3.0,1,5.0,1.615384615
bat,alien,20,noun,3.0,1,5.0,1.615384615
bat,alien,28,noun,3.0,1,5.0,1.615384615
bat,alien,50,noun,3.0,1,5.0,1.615384615
bat,alien,29,noun,3.0,1,5.0,1.615384615
bat,alien,5,noun,3.0,1,5.0,1.615384615
bat,alien,34,noun,3.0,1,5.0,1.615384615
bat,alien,21,noun,3.0,1,5.0,1.615384615
bat,alien,5,noun,3.0,1,5.0,1.615384615
bath,alien,33,noun,3.0,1,4.85,7.666666667
bath,alien,13,noun,3.0,1,4.85,7.666666667
bath,alien,31,noun,3.0,1,4.85,7.666666667
bath,alien,5,noun,3.0,1,4.85,7.666666667
bath,alien,50,noun,3.0,1,4.85,7.666666667
bath,alien,25,noun,3.0,1,4.85,7.666666667
bath,alien,0,noun,3.0,1,4.85,7.666666667
bath,alien,7,noun,3.0,1,4.85,7.666666667
bath,alien,10,noun,3.0,1,4.85,7.666666667
bath,alien,20,noun,3.0,1,4.85,7.666666667
be,alien,0,function,2.0,1,1.85,2.235294118
be,alien,36,function,2.0,1,1.85,2.235294118
be,alien,0,function,2.0,1,1.85,2.235294118
be,alien,0,function,2.0,1,1.85,2.235294118
be,alien,15,function,2.0,1,1.85,2.235294118
be,alien,48,function,2.0,1,1.85,2.235294118
be,alien,10,function,2.0,1,1.85,2.235294118
be,alien,22,function,2.0,1,1.85,2.235294118
be,alien,91,function,2.0,1,1.85,2.235294118
be,alien,40,function,2.0,1,1.85,2.235294118
be,alien,61,function,2.0,1,1.85,2.235294118
be,alien,81,function,2.0,1,1.85,2.235294118
be,alien,9,function,2.0,1,1.85,2.235294118
be,alien,19,function,2.0,1,1.85,2.235294118
beach,alien,80,noun,4.0,1,4.79,3.0
beach,alien,11,noun,4.0,1,4.79,3.0
beach,alien,23,noun,4.0,1,4.79,3.0
beach,alien,14,noun,4.0,1,4.79,3.0
beach,alien,10,noun,4.0,1,4.79,3.0
beach,alien,10,noun,4.0,1,4.79,3.0
beach,alien,46,noun,4.0,1,4.79,3.0
beach,alien,57,noun,4.0,1,4.79,3.0
beach,alien,60,noun,4.0,1,4.79,3.0
beach,alien,35,noun,4.0,1,4.79,3.0
beads,alien,3,noun,4.0,2,4.9,2.636363636
beads,alien,91,noun,4.0,2,4.9,2.636363636
beads,alien,39,noun,4.0,2,4.9,2.636363636
beads,alien,48,noun,4.0,2,4.9,2.636363636
beads,alien,69,noun,4.0,2,4.9,2.636363636
beads,alien,50,noun,4.0,2,4.9,2.636363636
beads,alien,19,noun,4.0,2,4.9,2.636363636
beads,alien,22,noun,4.0,2,4.9,2.636363636
beads,alien,0,noun,4.0,2,4.9,2.636363636
beads,alien,66,noun,4.0,2,4.9,2.636363636
beads,alien,48,noun,4.0,2,4.9,2.636363636
beans,alien,49,noun,4.0,2,5.0,1.631578947
beans,alien,41,noun,4.0,2,5.0,1.631578947
beans,alien,15,noun,4.0,2,5.0,1.631578947
beans,alien,89,noun,4.0,2,5.0,1.631578947
beans,alien,22,noun,4.0,2,5.0,1.631578947
beans,alien,16,noun,4.0,2,5.0,1.631578947
beans,alien,39,noun,4.0,2,5.0,1.631578947
beans,alien,63,noun,4.0,2,5.0,1.631578947
beans,alien,100,noun,4.0,2,5.0,1.631578947
beans,alien,10,noun,4.0,2,5.0,1.631578947
beans,alien,28,noun,4.0,2,5.0,1.631578947
beans,alien,13,noun,4.0,2,5.0,1.631578947
beans,alien,30,noun,4.0,2,5.0,1.631578947
beans,alien,84,noun,4.0,2,5.0,1.631578947
bear,alien,25,noun,2.0,1,4.88,4.8
bear,alien,48,noun,2.0,1,4.88,4.8
bear,alien,10,noun,2.0,1,4.88,4.8
bear,alien,8,noun,2.0,1,4.88,4.8
bear,alien,48,noun,2.0,1,4.88,4.8
bear,alien,19,noun,2.0,1,4.88,4.8
bear,alien,0,noun,2.0,1,4.88,4.8
bear,alien,81,noun,2.0,1,4.88,4.8
bear,alien,14,noun,2.0,1,4.88,4.8
bear,alien,26,noun,2.0,1,4.88,4.8
bear,alien,4,noun,2.0,1,4.88,4.8
bear,alien,76,noun,2.0,1,4.88,4.8
bear,alien,35,noun,2.0,1,4.88,4.8
because,alien,31,function,5.0,1,1.22,2.0
because,alien,4,function,5.0,1,1.22,2.0
because,alien,6,function,5.0,1,1.22,2.0
because,alien,61,function,5.0,1,1.22,2.0
because,alien,10,function,5.0,1,1.22,2.0
because,alien,16,function,5.0,1,1.22,2.0
because,alien,20,function,5.0,1,1.22,2.0
because,alien,10,function,5.0,1,1.22,2.0
because,alien,18,function,5.0,1,1.22,2.0
because,alien,0,function,5.0,1,1.22,2.0
because,alien,2,function,5.0,1,1.22,2.0
because,alien,1,function,5.0,1,1.22,2.0
bed,alien,51,noun,3.0,1,5.0,4.2
bed,alien,10,noun,3.0,1,5.0,4.2
bed,alien,78,noun,3.0,1,5.0,4.2
bed,alien,60,noun,3.0,1,5.0,4.2
bed,alien,14,noun,3.0,1,5.0,4.2
bed,alien,70,noun,3.0,1,5.0,4.2
bed,alien,26,noun,3.0,1,5.0,4.2
bed,alien,39,noun,3.0,1,5.0,4.2
bed,alien,60,noun,3.0,1,5.0,4.2
bed,alien,55,noun,3.0,1,5.0,4.2
bed,alien,41,noun,3.0,1,5.0,4.2
bee,alien,94,noun,2.0,1,4.88,1.8
bee,alien,90,noun,2.0,1,4.88,1.8
bee,alien,39,noun,2.0,1,4.88,1.8
bee,alien,4,noun,2.0,1,4.88,1.8
bee,alien,50,noun,2.0,1,4.88,1.8
bee,alien,17,noun,2.0,1,4.88,1.8
bee,alien,47,noun,2.0,1,4.88,1.8
bee,alien,9,noun,2.0,1,4.88,1.8
bee,alien,72,noun,2.0,1,4.88,1.8
bee,alien,54,noun,2.0,1,4.88,1.8
bee,alien,81,noun,2.0,1,4.88,1.8
before,alien,40,function,4.0,1,1.96,2.352941176
before,alien,37,function,4.0,1,1.96,2.352941176
before,alien,1,function,4.0,1,1.96,2.352941176
before,alien,16,function,4.0,1,1.96,2.352941176
before,alien,10,function,4.0,1,1.96,2.352941176
