Word,Word type,new AoA,Frequency,V.Mean.Sum,V.SD.Sum,V.Rat.Sum,A.Mean.Sum,A.SD.Sum,A.Rat.Sum,rating,phonemes,totalMorphemes,concreteness,babyAVG,Bigram,Conc.M,Conc.SD,Unknown,Total,SUBTLEX
bath,V,191.0,0.7846,7.0,1.75,37.0,3.25,2.35,40.0,6.548387096774194,3.0,1.0,4.85,7.666666667,0.0,4.85,0.6,0.0,27.0,1587.0
bathe,V,263.0,0.9595,7.5,1.24,20.0,3.15,2.23,20.0,,,,,,0.0,4.19,1.11,1.0,28.0,128.0
battle,N,319.0,1.9097,3.52,2.23,21.0,6.25,2.94,20.0,,,,,,0.0,4.0,0.9,0.0,28.0,2155.0
bawl,V,380.0,0.6222,3.58,1.54,19.0,4.86,2.55,22.0,,,,,,0.0,3.52,1.31,2.0,29.0,28.0
be,V,298.0,4.5842,6.18,1.44,22.0,3.43,2.31,21.0,10.775,2.0,1.0,1.85,2.235294118,0.0,1.85,1.26,1.0,28.0,293085.0
be able,V,311.0,,,,,,,,,,,,,,,,,,
bear,N,220.0,1.2095,5.33,2.25,18.0,4.5,3.07,20.0,10.333333333333334,2.0,1.0,4.88,4.8,0.0,4.88,0.43,0.0,26.0,2928.0
bearing,N,536.0,0.8645,,,,,,,,,,,,0.0,2.82,1.33,0.0,28.0,486.0
beat,V,313.0,1.9358,4.38,2.2,21.0,5.52,2.34,21.0,,,,,,0.0,3.97,1.35,0.0,29.0,6716.0
beautiful,A,279.0,2.0642,7.61,1.74,41.0,5.71,2.82,41.0,,,,,,0.0,2.16,1.24,0.0,31.0,14266.0
beaver,N,389.0,0.4547,5.0,1.84,21.0,4.05,2.26,22.0,,,,,,0.0,4.68,0.94,0.0,28.0,246.0
because,F,258.0,3.1205,,,,,,,4.789473684210527,5.0,1.0,1.22,2.0,0.0,1.22,0.51,0.0,27.0,54622.0
become,V,336.0,2.922,6.32,1.46,22.0,3.43,2.11,21.0,,,,,,0.0,1.54,0.84,0.0,28.0,5894.0
